name,iso3,lon_cen,lat_cen,pie_lon,pie_lat
Australia,AUS,134,-24,134,-24
China,CHN,99,35,100,42
Cook Islands,COK,198.5,-14,220,-38
Ecuador,ECU,,,279.25,-1
El Salvador,SLV,270.4,12.25,265,12.25
Micronesia,FSM,150,7.75,146,19
Fiji,FJI,178,-18,190,-45
French Polynesia,PYF,214,-17.65,230,-19
Japan,JPN,137,34.5,200,42
Kiribati,KIR,188,-3,220,4
South Korea,KOR,128.5,36,155,56
Marshall Islands,MHL,168,11.5,215,18
New Caledonia,NCL,165,-21,172,-30
New Zealand,NZL,,,173,-43
Papua New Guinea,PNG,148,-6,135,-4
Philippines,PHL,122,12,70,-25
Samoa,WSM,187.25,-13.4,212,-47
Solomon Islands,SLB,162,-9.5,110,-15
Spain,ESP,-3,40,4.5,23
Taiwan,TWN,120,23,66,6
Tonga,TON,185.5,-20,185.5,-20
United States,USA,258,40,256,42
Vanuatu,VUT,169.5,-16,140,-45
France,FRA,,,5,48.5
Indonesia,IDN,,,95,-25
Nicaragua,NIC,,,274.5,12.2
Nauru,NRU,,,159,-1
Portugal,PRT,,,-14,36
Tuvalu,TUV,177.6,-7.1,177,-7.5