name,ps_vessel,ll_vessel,lon_cen,lat_cen,pie_lon,pie_lat,bet_ll,skj_ps,bet_ps
Australia,0,39,134,-24,134,-24,719,0,0
China,20,429,99,35,100,42,8210,33581,1907
Cook Islands,0,12,198.5,-14,230,-37,151,0,0
Ecuador,7,0,279.25,-1,279.25,-1,0,9385,1094
El Salvador,2,0,270.4,12.25,270.4,12.25,0,6151,380
Micronesia,12,19,150,7.75,146,19,1473,45722,1668
Fiji,0,102,178,-18,190,-45,1184,0,0
French Polynesia,0,61,214,-17.65,230,-19,800,0,0
Japan,70,338,137,34.5,200,42,12327,147728,3978
Kiribati,21,14,188,-3,220,4,556,118209,2817
South Korea,25,84,128.5,36,155,56,7745,227947,5071
Marshall Islands,12,0,168,11.5,215,18,0,77021,2595
New Caledonia,0,17,165,-21,172,-30,63,0,0
New Zealand,8,37,173,-43,168,-47,122,6352,58
Papua New Guinea,51,13,148,-6,135,-4,15,158028,6813
Philippines,23,0,122,12,70,-25,0,42564,3237
Samoa,0,42,187.25,-13.4,212,-47,48,0,0
Solomon Islands,5,147,162,-9.5,110,-15,4390,16325,189
Spain,4,5,-3,40,-3,40,53,28878,1812
Taiwan,34,1382,120,23,66,6,9434,151187,6635
Tonga,0,4,185.5,-20,188,-26,25,0,0
United States,39,158,258,40,256,42,4941,219039,5690
Vanuatu,3,75,169.5,-16,140,-45,5603,7200,324
Indonesia (domestic),,,,,,,3762,42256,2049
Philippines (domestic),,,,,,,0,42594,1034