name,ps_vessel,ll_vessel,lon_cen,lat_cen,pie_lon,pie_lat,text_lon,text_lat,bet_ll,skj_ps,bet_ps
Australia,0,39,130,-22,130,-22,143,-30,719,0,0
China,20,429,100,42,100,42,100,58,8210,33581,1907
Cook Islands,0,12,198.5,-16,213,-35,232,-40,151,0,0
Ecuador,7,0,279.25,-1,279.25,-1,269,-5,0,9385,1094
El Salvador,2,0,270.4,12.25,270.4,12.25,259,9,0,6151,380
Micronesia,12,19,146,9,146,9,155,17.5,1473,45722,1668
Fiji,0,102,178,-18,191,-36,204,-43,1184,0,0
French Polynesia,0,61,222,-19,222,-19,247,-19,800,0,0
Japan,70,338,148,37,148,37,168,37,12327,147728,3978
Kiribati,21,14,188,0,188,0,192,10.5,556,118209,2817
South Korea,25,84,127,36,155,56,179,56,7745,227947,5071
Marshall Islands,12,0,169,14,169,14,177,21,0,77021,2595
New Caledonia,0,17,166,-24,166,-24,173,-32,63,0,0
New Zealand,8,37,168,-47,168,-47,186,-55,122,6352,58
Papua New Guinea,51,13,145,-4,100,5,74,0,15,158028,6813
Philippines,23,0,123,15,123,15,136,20,0,42564,3237
Samoa,0,42,187.25,-13.4,187.25,-13.4,200,-9,48,0,0
Solomon Islands,5,147,162,-9.5,107,-14,91,-25,4390,16325,189
Spain,4,5,-5,42,-5,42,-15,42,53,28878,1812
Taiwan,34,1382,119.5,22.5,65,30,70,48,9434,151187,6635
Tonga,0,4,187.4,-22.5,187.4,-22.5,197,-25,25,0,0
United States,39,158,256,38,256,39,256,54,4941,219039,5690
Vanuatu,3,75,168,-16.5,140,-47,125,-47,5603,7200,324
Indonesia (domestic),,,,,,,,,3762,42256,2049
Philippines (domestic),,,,,,,,,0,42594,1034